,,,,,,,,,,,,,,,,,Offe,Offe,Offe,Offe,,Defe,Defe,Defe,Defe,,,,
Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,28.4,40,12,39,13,9.50,0.08,9.58,121.3,111.8,+9.5,98.4,.242,.472,.602,,.568,11.2,24.8,.196,,.521,10.5,76.4,.154,,TD Garden,536368,19156
Oklahoma City Thunder,23.2,35,16,37,14,7.75,0.01,7.75,120.4,112.7,+7.7,99.5,.247,.381,.612,,.576,11.3,21.1,.205,,.525,13.5,72.3,.212,,Paycom Center,448132,17236
Minnesota Timberwolves,27.2,36,16,36,16,6.33,0.15,6.47,115.6,109.1,+6.5,97.5,.280,.380,.599,,.564,13.6,23.2,.218,,.514,12.6,77.4,.198,,Target Center,414552,17273
Los Angeles Clippers,30.7,34,16,34,16,6.10,-0.12,5.98,121.0,114.8,+6.2,97.8,.263,.380,.608,,.572,11.8,25.3,.213,,.536,12.1,74.7,.196,,Crypto.com Arena,447492,18646
New York Knicks,26.1,33,19,35,17,5.46,-0.61,4.86,119.0,113.3,+5.7,96.7,.261,.396,.578,,.541,11.7,29.4,.205,,.542,11.9,77.1,.177,,Madison Square Garden (IV),512214,19701
Cleveland Cavaliers,26.3,34,16,33,17,5.52,-0.61,4.91,116.4,110.8,+5.6,98.3,.234,.417,.587,,.557,12.2,25.0,.181,,.523,12.6,77.2,.200,,Rocket Mortgage Fieldhouse,501687,19432
Philadelphia 76ers,28.3,30,21,32,19,4.59,-0.87,3.72,119.5,114.8,+4.7,98.8,.301,.354,.585,,.537,10.5,25.4,.250,,.539,12.8,73.7,.222,,Wells Fargo Center,539829,19994
New Orleans Pelicans,25.8,30,22,32,20,4.00,0.28,4.28,118.2,114.1,+4.1,98.8,.275,.364,.592,,.558,11.8,25.5,.211,,.542,12.4,76.8,.199,,Smoothie King Center,423673,16947
Denver Nuggets,27.0,36,17,32,21,3.64,0.31,3.95,118.6,114.9,+3.7,96.6,.234,.350,.586,,.558,11.4,26.2,.176,,.534,11.1,75.6,.206,,Ball Arena,491970,19679
Milwaukee Bucks,29.9,34,19,32,21,3.58,-0.81,2.78,120.4,116.9,+3.5,101.4,.292,.423,.609,,.575,11.2,22.0,.225,,.539,10.4,76.2,.201,,Fiserv Forum,493921,17670
Phoenix Suns,29.1,31,21,31,21,3.06,-1.12,1.94,118.8,115.7,+3.1,98.3,.289,.367,.609,,.570,13.3,25.0,.234,,.540,11.4,74.8,.188,,Footprint Center,460917,17071
Indiana Pacers,25.3,29,24,29,24,1.38,-0.20,1.18,121.2,119.8,+1.4,102.4,.230,.388,.609,,.580,11.7,24.3,.180,,.564,12.3,73.4,.237,,Gainbridge Fieldhouse,457983,16357
Golden State Warriors,28.5,24,25,26,23,1.24,0.90,2.14,118.4,117.2,+1.2,99.4,.245,.432,.589,,.555,12.6,27.9,.194,,.543,11.1,76.0,.215,,Chase Center,469664,18064
Houston Rockets,25.1,23,28,27,24,0.92,0.22,1.15,113.7,112.7,+1.0,98.9,.261,.380,.567,,.530,11.4,24.0,.203,,.531,12.0,77.1,.222,,Toyota Center,473440,17535
Sacramento Kings,26.5,30,21,27,24,0.80,0.22,1.03,117.5,116.7,+0.8,100.0,.241,.443,.590,,.565,11.8,23.2,.177,,.565,12.5,78.3,.212,,Golden 1 Center,429540,17898
Orlando Magic,23.9,28,24,27,25,0.73,0.05,0.78,112.9,112.2,+0.7,98.2,.301,.361,.572,,.534,13.0,25.7,.227,,.547,13.8,77.5,.212,,Amway Center,435688,18896
Dallas Mavericks,26.4,29,23,26,26,0.23,0.35,0.58,118.3,118.0,+0.3,100.0,.263,.454,.592,,.561,11.0,22.4,.199,,.559,12.1,73.5,.192,,American Airlines Center,545021,20186
Miami Heat,28.3,28,24,25,27,-0.31,-0.71,-1.02,113.7,114.0,-0.3,96.9,.271,.388,.577,,.535,12.0,22.2,.223,,.552,12.7,77.6,.182,,Kaseya Center,533001,19741
Los Angeles Lakers,27.9,28,26,26,28,-0.69,0.60,-0.08,114.6,115.2,-0.6,100.9,.282,.350,.592,,.557,12.3,19.8,.218,,.550,11.9,76.2,.164,,Crypto.com Arena,509489,18903
Chicago Bulls,28.0,25,27,24,28,-1.23,-0.81,-2.04,114.1,115.4,-1.3,96.4,.238,.367,.567,,.532,11.3,24.7,.188,,.553,13.0,76.4,.199,,United Center,547394,20274
Brooklyn Nets,26.5,20,31,23,28,-1.67,0.24,-1.42,115.4,117.1,-1.7,98.0,.232,.415,.565,,.535,11.1,25.8,.176,,.545,11.0,76.0,.204,,Barclays Center,491225,17544
Utah Jazz,25.8,26,27,23,30,-2.06,0.36,-1.70,116.9,118.9,-2.0,99.8,.258,.407,.584,,.544,13.6,29.3,.211,,.559,10.9,75.6,.185,,Delta Center,436944,18206
Atlanta Hawks,26.2,23,29,23,29,-2.25,0.18,-2.07,119.0,121.2,-2.2,101.4,.266,.405,.581,,.541,11.4,28.1,.216,,.579,12.4,74.1,.197,,State Farm Arena,439015,16885
Toronto Raptors,26.4,19,33,21,31,-3.17,0.06,-3.11,114.9,118.1,-3.2,98.7,.249,.367,.575,,.545,11.9,25.1,.186,,.561,12.0,75.1,.175,,Scotiabank Arena,469661,19569
Memphis Grizzlies,24.8,18,34,16,36,-6.25,0.97,-5.28,107.9,114.2,-6.3,98.8,.235,.445,.549,,.516,13.1,22.2,.180,,.549,13.4,75.5,.206,,FedEx Forum,400484,16687
Portland Trail Blazers,24.5,15,36,14,37,-8.22,0.44,-7.78,109.6,117.9,-8.3,97.9,.245,.377,.547,,.508,13.0,26.2,.196,,.560,13.1,73.0,.215,,Moda Center,422472,18368
San Antonio Spurs,23.2,10,42,13,39,-8.73,0.44,-8.29,110.0,118.6,-8.6,101.5,.221,.402,.561,,.530,12.9,22.4,.172,,.565,11.8,75.2,.192,,Frost Bank Center,472009,18154
Detroit Pistons,24.0,8,43,13,38,-8.96,0.06,-8.90,112.4,121.3,-8.9,100.2,.254,.349,.574,,.539,13.6,25.3,.198,,.561,10.4,76.7,.238,,Little Caesars Arena,471579,17466
Washington Wizards,25.2,9,42,13,38,-9.22,-0.16,-9.37,111.5,120.4,-8.9,103.0,.231,.379,.572,,.541,12.0,19.9,.177,,.565,12.3,71.1,.202,,Capital One Arena,413325,16533
Charlotte Hornets,25.1,10,41,9,42,-12.18,0.11,-12.07,109.6,122.0,-12.4,98.3,.217,.371,.555,,.523,12.2,22.6,.170,,.583,12.1,75.4,.210,,Spectrum Center,424066,16310
League Average,26.5,,,26,26,0.00,0.00,0.00,116.0,116.0,,99.1,.255,.392,.583,,.548,12.1,24.5,.200,,.548,12.1,75.5,.200,,,470425,18213