,,,,,,% of,% of,% of,% of,% of,% of,,FG%,FG%,FG%,FG%,FG%,FG%,,% of,% of,,Dunk,Dunk,,Layu,Layu,,Corn,Corn
Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,52,12580,.502,13.5,,.604,.295,.164,.102,.044,.396,,.578,.700,.473,.460,.423,.387,,.535,.834,,.073,305,,.286,815,,.285,.409
Boston Celtics,52,12605,.449,14.8,,.592,.197,.229,.099,.067,.408,,.518,.664,.448,.469,.396,.350,,.501,.806,,.050,207,,.280,718,,.194,.332
Brooklyn Nets,51,12315,.469,14.1,,.606,.240,.206,.097,.063,.394,,.527,.699,.407,.429,.414,.381,,.522,.807,,.052,207,,.271,691,,.202,.434
Chicago Bulls,52,12655,.470,14.8,,.548,.274,.143,.070,.061,.452,,.553,.666,.457,.418,.425,.368,,.573,.893,,.056,236,,.261,652,,.264,.429
Charlotte Hornets,51,12290,.504,13.7,,.604,.285,.188,.079,.052,.396,,.574,.732,.444,.443,.381,.397,,.552,.866,,.065,258,,.288,772,,.243,.427
Cleveland Cavaliers,50,12050,.454,13.9,,.613,.263,.188,.106,.056,.387,,.515,.651,.412,.439,.370,.357,,.504,.851,,.055,205,,.271,639,,.274,.394
Dallas Mavericks,52,12480,.486,13.9,,.605,.247,.202,.093,.062,.395,,.562,.754,.437,.466,.352,.369,,.540,.837,,.055,238,,.264,753,,.283,.379
Denver Nuggets,53,12720,.469,13.4,,.641,.257,.219,.109,.057,.359,,.528,.693,.417,.426,.402,.364,,.543,.841,,.052,211,,.292,744,,.220,.365
Detroit Pistons,51,12315,.495,13.2,,.651,.233,.270,.086,.063,.349,,.556,.702,.480,.450,.490,.380,,.520,.820,,.052,217,,.299,797,,.194,.434
Golden State Warriors,49,11910,.471,14.6,,.597,.163,.278,.093,.062,.403,,.548,.717,.515,.446,.409,.357,,.510,.842,,.048,193,,.273,715,,.238,.389
Houston Rockets,51,12365,.460,14.5,,.593,.205,.228,.098,.062,.407,,.539,.674,.485,.468,.399,.346,,.511,.824,,.049,198,,.258,637,,.232,.365
Indiana Pacers,53,12720,.503,12.5,,.677,.271,.253,.100,.053,.323,,.563,.686,.485,.498,.433,.377,,.474,.786,,.064,263,,.332,914,,.215,.411
Los Angeles Clippers,50,12025,.465,14.1,,.604,.217,.237,.088,.061,.396,,.536,.700,.443,.458,.430,.358,,.533,.858,,.056,224,,.280,684,,.260,.364
Los Angeles Lakers,54,13060,.473,14.5,,.592,.216,.213,.095,.068,.408,,.539,.720,.438,.437,.424,.377,,.528,.845,,.055,255,,.249,702,,.224,.406
Memphis Grizzlies,52,12530,.473,13.8,,.600,.274,.185,.089,.053,.400,,.535,.664,.418,.448,.424,.380,,.541,.833,,.069,273,,.268,645,,.203,.420
Miami Heat,52,12505,.474,14.8,,.571,.202,.230,.085,.054,.429,,.555,.709,.504,.443,.372,.365,,.555,.867,,.054,223,,.250,683,,.264,.417
Milwaukee Bucks,53,12795,.474,14.1,,.633,.231,.199,.137,.065,.367,,.546,.705,.437,.493,.420,.352,,.523,.795,,.061,257,,.262,702,,.203,.366
Minnesota Timberwolves,52,12555,.449,13.9,,.627,.223,.211,.126,.068,.373,,.505,.680,.408,.438,.358,.353,,.526,.863,,.054,217,,.258,605,,.249,.382
New Orleans Pelicans,52,12505,.466,14.7,,.558,.239,.183,.083,.052,.442,,.561,.720,.454,.429,.421,.345,,.563,.848,,.060,257,,.260,696,,.259,.381
New York Knicks,52,12480,.468,13.9,,.596,.271,.175,.092,.058,.404,,.537,.665,.441,.425,.408,.366,,.539,.855,,.056,219,,.278,707,,.279,.413
Oklahoma City Thunder,51,12340,.450,14.3,,.584,.236,.200,.092,.057,.416,,.511,.638,.449,.402,.375,.364,,.555,.889,,.054,211,,.275,660,,.307,.377
Orlando Magic,52,12555,.478,14.0,,.614,.229,.217,.103,.065,.386,,.555,.694,.497,.471,.394,.355,,.506,.810,,.057,219,,.279,703,,.252,.368
Philadelphia 76ers,51,12290,.472,13.7,,.619,.271,.196,.093,.060,.381,,.548,.702,.425,.437,.423,.349,,.555,.849,,.068,281,,.285,715,,.221,.356
Phoenix Suns,52,12555,.467,14.0,,.606,.248,.201,.098,.059,.394,,.533,.695,.440,.418,.357,.367,,.529,.819,,.054,227,,.283,768,,.244,.360
Portland Trail Blazers,51,12390,.494,13.6,,.618,.281,.187,.087,.063,.382,,.587,.735,.480,.478,.389,.345,,.556,.862,,.076,310,,.285,788,,.235,.400
Sacramento Kings,51,12365,.487,14.1,,.609,.216,.239,.099,.055,.391,,.545,.687,.502,.423,.397,.396,,.550,.847,,.055,218,,.282,737,,.250,.411
San Antonio Spurs,52,12530,.491,13.7,,.615,.276,.186,.095,.058,.385,,.557,.697,.446,.445,.434,.385,,.539,.838,,.074,308,,.275,750,,.241,.401
Toronto Raptors,52,12580,.487,13.8,,.612,.263,.203,.085,.061,.388,,.557,.698,.475,.423,.408,.378,,.545,.844,,.064,272,,.283,785,,.226,.424
Utah Jazz,53,12845,.481,14.0,,.599,.225,.238,.088,.048,.401,,.546,.684,.478,.459,.393,.385,,.559,.869,,.070,293,,.265,704,,.222,.447
Washington Wizards,51,12240,.497,13.3,,.637,.254,.233,.096,.055,.363,,.568,.733,.456,.454,.469,.373,,.562,.855,,.073,313,,.304,835,,.236,.425
League Average,52,12472,.476,14.0,,.608,.243,.210,.095,.059,.392,,.546,.696,.457,.448,.406,.368,,.535,.842,,.059,244,,.277,724,,.241,.396