Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Indiana Pacers,50,240.0,46.9,92.8,.505,13.7,36.1,.380,33.2,56.7,.585,16.8,21.4,.788,10.4,30.8,41.2,30.7,7.8,5.9,13.6,22.5,124.4
Milwaukee Bucks,49,241.5,44.7,89.6,.498,14.2,37.5,.378,30.5,52.1,.585,20.5,26.4,.776,9.4,34.8,44.2,26.7,6.7,5.3,12.9,20.3,124.0
Atlanta Hawks,49,242.0,43.7,93.8,.466,13.7,37.9,.360,30.0,55.8,.538,20.1,24.8,.811,13.1,31.9,45.0,25.9,7.8,4.4,13.6,18.9,121.2
Oklahoma City Thunder,49,241.0,44.5,88.6,.502,13.0,33.2,.390,31.5,55.3,.569,18.6,22.4,.831,8.6,32.9,41.5,27.0,8.2,6.6,12.7,19.7,120.6
Boston Celtics,49,242.6,43.1,90.4,.477,16.2,42.7,.379,26.9,47.7,.564,17.8,22.1,.806,10.9,36.5,47.3,25.8,6.3,6.6,12.6,17.2,120.1
Philadelphia 76ers,48,241.0,42.4,89.1,.476,11.5,31.5,.366,30.9,57.6,.537,22.8,27.3,.834,10.9,32.0,43.0,24.9,8.9,6.0,11.9,20.9,119.1
Golden State Warriors,46,243.3,43.0,91.2,.472,15.0,40.0,.375,28.0,51.2,.548,17.9,22.6,.791,12.3,33.8,46.1,28.5,6.6,4.0,14.5,20.7,119.0
Sacramento Kings,48,242.6,43.7,90.8,.481,14.9,40.2,.370,28.8,50.6,.569,16.3,22.2,.731,10.4,33.0,43.4,28.7,7.2,4.0,13.6,20.0,118.5
Los Angeles Clippers,47,240.5,43.5,87.7,.496,13.0,33.1,.394,30.4,54.7,.557,18.4,22.7,.811,10.4,32.9,43.3,26.2,8.1,5.4,12.9,19.6,118.5
Dallas Mavericks,49,240.0,42.6,89.8,.474,15.0,40.5,.371,27.5,49.2,.559,18.0,23.8,.759,10.1,31.3,41.4,25.3,6.6,4.3,12.5,19.3,118.2
Utah Jazz,50,242.5,42.7,90.7,.471,13.1,36.8,.357,29.6,53.9,.549,19.1,23.3,.822,12.7,33.8,46.5,28.4,6.7,6.0,15.8,19.3,117.6
Phoenix Suns,49,241.5,42.3,85.5,.495,12.0,31.6,.379,30.4,53.8,.564,20.2,24.9,.813,10.0,33.2,43.2,26.6,7.1,5.9,14.8,18.7,116.9
New Orleans Pelicans,49,240.5,42.8,87.9,.487,12.0,31.9,.377,30.7,56.0,.549,18.9,24.7,.763,11.0,33.5,44.4,26.8,8.1,4.7,13.3,19.4,116.4
Los Angeles Lakers,51,242.0,42.9,87.4,.490,11.3,30.7,.370,31.5,56.8,.555,19.0,24.7,.771,8.3,34.6,42.9,28.1,7.9,5.5,14.0,16.5,116.1
New York Knicks,50,240.0,41.7,89.3,.467,13.1,35.5,.369,28.6,53.8,.531,18.5,23.6,.785,12.8,33.7,46.4,23.9,7.3,4.0,13.2,18.3,115.0
Washington Wizards,48,240.0,43.2,90.9,.476,11.9,34.2,.349,31.3,56.7,.552,16.4,21.3,.770,9.0,31.5,40.5,27.9,7.6,5.5,13.6,19.9,114.8
Denver Nuggets,50,240.0,43.8,88.7,.494,11.5,31.2,.369,32.3,57.5,.561,15.7,20.9,.754,11.0,33.1,44.1,28.8,6.7,5.4,12.5,18.8,114.8
Brooklyn Nets,48,241.6,42.2,91.3,.462,14.0,38.1,.366,28.3,53.2,.531,16.3,21.5,.757,12.0,33.3,45.3,26.8,6.9,5.4,12.7,19.3,114.6
Cleveland Cavaliers,47,241.1,42.5,88.8,.479,13.2,36.9,.357,29.3,51.9,.565,16.1,20.9,.772,10.9,34.1,45.1,26.8,7.8,4.6,13.7,18.9,114.3
Toronto Raptors,48,241.0,42.9,89.6,.479,11.8,32.9,.358,31.1,56.7,.549,16.8,22.5,.744,11.2,32.2,43.5,29.3,7.6,4.8,13.4,18.7,114.3
Houston Rockets,48,242.6,41.7,89.8,.465,12.0,34.3,.350,29.7,55.5,.536,18.4,23.5,.782,10.5,34.9,45.4,25.2,7.5,4.4,12.7,21.4,113.9
Minnesota Timberwolves,49,241.0,41.1,83.9,.490,12.3,31.6,.390,28.8,52.3,.550,18.4,23.7,.779,9.0,34.6,43.6,26.3,7.5,5.8,15.0,19.4,113.0
Detroit Pistons,48,241.0,42.2,89.0,.474,11.1,31.1,.358,31.0,57.9,.537,17.4,22.4,.775,11.1,32.2,43.3,26.4,5.9,5.0,15.6,21.9,112.9
San Antonio Spurs,50,241.0,42.0,91.3,.460,12.5,36.6,.342,29.5,54.7,.540,15.8,20.3,.780,10.4,33.1,43.4,29.3,7.2,6.1,14.8,18.3,112.3
Orlando Magic,49,241.5,40.4,86.4,.468,10.8,31.3,.344,29.7,55.1,.538,20.0,26.4,.757,11.2,31.9,43.1,24.7,8.2,5.3,14.6,21.2,111.6
Chicago Bulls,50,243.0,41.4,89.2,.465,11.7,32.8,.356,29.7,56.3,.528,16.5,20.9,.788,11.0,32.3,43.3,24.5,7.8,5.1,12.4,19.1,111.1
Miami Heat,49,240.5,39.3,85.3,.461,12.4,33.1,.375,26.9,52.2,.515,19.3,23.5,.822,9.6,32.3,41.9,25.7,7.2,3.3,13.2,18.2,110.4
Portland Trail Blazers,49,242.6,39.5,89.8,.440,12.0,34.0,.355,27.5,55.8,.492,17.4,21.9,.796,11.9,29.6,41.5,22.5,7.8,4.6,14.8,20.4,108.5
Charlotte Hornets,47,241.1,40.8,89.0,.458,12.0,33.1,.361,28.9,55.9,.516,15.0,19.0,.785,10.4,30.5,40.9,24.9,6.6,5.0,13.8,19.4,108.5
Memphis Grizzlies,49,241.0,38.7,88.4,.438,13.5,39.3,.344,25.2,49.1,.513,16.3,21.2,.770,10.0,32.1,42.1,25.0,7.8,6.2,14.6,19.9,107.2
League Average,49,241.3,42.4,89.2,.476,12.8,35.0,.366,29.6,54.2,.546,18.0,22.9,.785,10.7,32.9,43.6,26.6,7.4,5.2,13.6,19.5,115.6